Banshi,Speed,Tempo
yuanban,mid,93.96306818181820
yuanban,mid,93.96306818181820
yuanban,mid,95.70312499999990
yuanban,mid,97.50884433962300
yuanban,mid,74.14589311334290
yuanban,mid,95.70312499999990
yuanban,mid,97.50884433962300
yuanban,mid,74.14589311334290
yuanban,mid,44.55145474137930
yuanban,mid,58.26345828635850
yuanban,mid,44.55145474137930
yuanban,mid,58.26345828635850
yuanban,mid,89.10290948275840
yuanban,mid,89.10290948275840
yuanban,mid,92.28515625000010
yuanban,mid,92.28515625000010
yuanban,mid,61.450282401902700
yuanban,mid,61.450282401902700
yuanban,mid,97.50884433962300
yuanban,mid,97.50884433962300
yuanban,mid,86.13281250000000
yuanban,mid,86.13281250000000
yuanban,mid,86.13281250000000
yuanban,mid,89.1029094827589
yuanban,mid,86.13281250000000
yuanban,mid,89.1029094827589
yuanban,mid,58.995077054794500
yuanban,mid,80.74951171875030
yuanban,mid,80.74951171875030
yuanban,mid,89.10290948275840
yuanban,mid,83.3543346774195
yuanban,mid,78.30255681818180
yuanban,mid,95.70312499999990
yuanban,mid,89.10290948275840
yuanban,mid,83.3543346774195
yuanban,mid,78.30255681818180
yuanban,mid,95.70312499999990
yuanban,mid,87.592690677966
yuanban,mid,87.592690677966
yuanban,mid,61.087101063829800
yuanban,mid,86.13281250000000
yuanban,mid,61.087101063829800
yuanban,mid,86.13281250000000
yuanban,mid,79.5072115384615
yuanban,mid,79.5072115384615
yuanban,mid,86.13281250000000
yuanban,mid,86.13281250000000
yuanban,mid,97.50884433962260
yuanban,mid,83.35433467741930
yuanban,mid,97.50884433962260
yuanban,mid,83.35433467741930
yuanban,mid,64.92423052763820
yuanban,mid,64.92423052763820
yuanban,mid,95.70312500000010
yuanban,mid,95.70312500000010
yuanban,mid,101.33272058823500
yuanban,mid,101.33272058823500
yuanban,mid,89.10290948275860
yuanban,mid,89.10290948275860
yuanban,mid,92.28515624999960
yuanban,mid,89.10290948275840
yuanban,mid,92.28515624999960
yuanban,mid,89.10290948275840
yuanban,mid,83.35433467741940
yuanban,mid,83.35433467741940
yuanban,mid,95.70312499999990
yuanban,mid,97.50884433962280
yuanban,mid,95.70312499999990
yuanban,mid,97.50884433962280
yuanban,mid,75.115824854651
yuanban,mid,53.4986413043478
yuanban,mid,75.115824854651
yuanban,mid,53.4986413043478
yuanban,mid,78.30255681818180
yuanban,mid,86.13281250000000
yuanban,mid,99.38401442307690
yuanban,mid,78.30255681818180
yuanban,mid,86.13281250000000
yuanban,mid,99.38401442307690
yuanban,mid,46.06032754010700
yuanban,mid,44.628400259067400
yuanban,mid,46.06032754010700
yuanban,mid,44.628400259067400
yuanban,mid,75.99954044117660
yuanban,mid,75.99954044117660
yuanban,mid,83.35433467741930
yuanban,mid,83.35433467741930
yuanban,mid,99.38401442307720
yuanban,mid,99.38401442307720
yuanban,mid,61.23185722748820
yuanban,mid,99.38401442307720
yuanban,mid,99.38401442307690
yuanban,mid,89.10290948275870
yuanban,mid,61.23185722748820
yuanban,mid,99.38401442307720
yuanban,mid,99.38401442307690
yuanban,mid,89.10290948275870
yuanban,mid,67.46695496083550
yuanban,mid,67.46695496083550
yuanban,mid,97.50884433962250
yuanban,mid,99.38401442307660
yuanban,mid,101.3327205882360
yuanban,mid,56.915955396475800
yuanban,mid,97.50884433962250
yuanban,mid,99.38401442307660
yuanban,mid,56.915955396475800
yuanban,mid,82.03125000000000
yuanban,mid,82.03125000000000
yuanban,mid,86.13281250000000
yuanban,mid,38.16815915805020
