Banshi,Speed,Tempo
liushui,fast,97.50884433962250
liushui,fast,97.50884433962250
liushui,fast,97.50884433962280
liushui,fast,97.50884433962280
liushui,fast,47.239202468007300
liushui,fast,47.239202468007300
liushui,fast,97.50884433962300
liushui,fast,97.50884433962300
liushui,fast,90.66611842105280
liushui,fast,90.66611842105280
liushui,fast,95.70312499999990
liushui,fast,95.70312499999990
liushui,fast,89.10290948275840
liushui,fast,61.52343750000000
liushui,fast,89.10290948275840
liushui,fast,61.52343750000000
liushui,fast,50.66636029411770
liushui,fast,50.66636029411770
liushui,fast,42.221966911764700
liushui,fast,92.28515625
liushui,fast,73.82812499999990
liushui,fast,92.28515625000010
liushui,fast,42.221966911764700
liushui,fast,92.28515625
liushui,fast,73.82812499999990
liushui,fast,92.28515625000010
liushui,fast,97.50884433962270
liushui,fast,93.96306818181820
liushui,fast,95.70312500000050
liushui,fast,87.59269067796620
liushui,fast,87.59269067796650
liushui,fast,97.50884433962270
liushui,fast,93.96306818181820
liushui,fast,95.70312500000050
liushui,fast,87.59269067796620
liushui,fast,87.59269067796650
liushui,fast,92.28515625
liushui,fast,95.70312499999990
liushui,fast,92.28515625
liushui,fast,95.70312499999990
liushui,fast,67.8211122047244
liushui,fast,67.8211122047244
liushui,fast,99.38401442307720
liushui,fast,99.38401442307720
liushui,fast,65.4173259493672
liushui,fast,65.4173259493672
liushui,fast,90.66611842105280
liushui,fast,90.66611842105280
liushui,fast,92.28515624999960
liushui,fast,97.50884433962260
liushui,fast,92.28515624999960
liushui,fast,97.50884433962260
liushui,fast,93.96306818181820
liushui,fast,93.96306818181820
liushui,fast,62.8706660583941
liushui,fast,92.28515624999960
liushui,fast,89.10290948275870
liushui,fast,62.8706660583941
liushui,fast,92.28515624999960
liushui,fast,89.10290948275870
liushui,fast,89.10290948275860
liushui,fast,89.10290948275860
liushui,fast,52.41347616632860
liushui,fast,52.41347616632860
liushui,fast,83.3543346774195
liushui,fast,57.93686939461890
liushui,fast,87.59269067796620
liushui,fast,83.3543346774195
liushui,fast,57.93686939461890
liushui,fast,87.59269067796620
liushui,fast,95.70312500000020
liushui,fast,99.38401442307690
liushui,fast,95.70312500000020
liushui,fast,99.38401442307690
liushui,fast,84.72079918032790
liushui,fast,79.6297187981509
liushui,fast,79.6297187981509
liushui,fast,97.50884433962280
liushui,fast,97.50884433962280
liushui,fast,74.4664085014409
liushui,fast,74.4664085014409
liushui,fast,89.10290948275840
liushui,fast,89.10290948275840
liushui,fast,90.66611842105270
liushui,fast,90.66611842105270
liushui,fast,68.72298869680850
liushui,fast,76.22372787610620
liushui,fast,68.72298869680850
liushui,fast,76.22372787610620
liushui,fast,40.756851340694000
liushui,fast,40.756851340694000
liushui,fast,41.84590080971660
liushui,fast,41.84590080971660
liushui,fast,93.96306818181820
liushui,fast,93.96306818181820
liushui,fast,95.703125
liushui,fast,95.703125
liushui,fast,87.592690677966
liushui,fast,87.592690677966
liushui,fast,49.50161637931040
liushui,fast,49.50161637931040
liushui,fast,56.05172180043380
liushui,fast,56.05172180043380
liushui,fast,86.1328125
liushui,fast,86.1328125
liushui,fast,89.10290948275840
liushui,fast,92.28515625000010
liushui,fast,89.10290948275840
liushui,fast,92.28515625000010
liushui,fast,68.54069960212220
liushui,fast,68.54069960212220
liushui,fast,86.13281250000000
liushui,fast,86.13281250000000
liushui,fast,40.69266732283470
liushui,fast,89.10290948275840
liushui,fast,40.69266732283470
liushui,fast,89.10290948275840
liushui,fast,99.38401442307690
liushui,fast,99.38401442307690
liushui,fast,97.50884433962250
liushui,fast,97.50884433962250
liushui,fast,93.96306818181820
liushui,fast,93.96306818181820
liushui,fast,89.10290948275870
liushui,fast,89.10290948275870
liushui,fast,97.50884433962260
liushui,fast,97.50884433962260
liushui,fast,77.13386194029850
liushui,fast,87.59269067796610
liushui,fast,77.13386194029850
liushui,fast,87.59269067796610
liushui,fast,64.43851309226940
liushui,fast,64.43851309226940
liushui,fast,83.3543346774194
liushui,fast,83.3543346774194
liushui,fast,95.70312500000010
liushui,fast,95.70312500000010
liushui,fast,84.72079918032790
liushui,fast,51.06688488142290
liushui,fast,95.70312500000010
liushui,fast,51.06688488142290
liushui,fast,95.70312500000010
liushui,fast,95.703125
liushui,fast,95.703125
liushui,fast,97.50884433962260
liushui,fast,97.50884433962260
liushui,fast,86.13281250000000
liushui,fast,51.73141891891900
liushui,fast,86.13281250000000
liushui,fast,51.73141891891900
liushui,fast,92.28515624999990
liushui,fast,92.28515624999990
liushui,fast,89.10290948275870
liushui,fast,89.10290948275870
liushui,fast,95.70312499999990
liushui,fast,95.70312499999990
liushui,fast,93.96306818181820
liushui,fast,93.96306818181820
liushui,fast,61.08710106382970
liushui,fast,61.08710106382970
