Banshi,Speed,Tempo
erliu,mid,69.83741554054060
erliu,mid,69.83741554054060
erliu,mid,89.10290948275840
erliu,mid,89.10290948275840
erliu,mid,62.33979191797350
erliu,mid,62.33979191797350
erliu,mid,81.51370268138800
erliu,mid,81.51370268138800
erliu,mid,73.09715346534650
erliu,mid,73.09715346534650
erliu,mid,89.1029094827589
erliu,mid,89.1029094827589
erliu,mid,64.59960937500000
erliu,mid,64.59960937500000
erliu,mid,42.640006188118800
erliu,mid,42.640006188118800
erliu,mid,93.96306818181820
erliu,mid,72.38051470588230
erliu,mid,72.38051470588230
erliu,mid,38.97412330316740
erliu,mid,38.97412330316740
erliu,mid,97.50884433962300
erliu,mid,82.03124999999980
erliu,mid,97.50884433962300
erliu,mid,82.03124999999980
erliu,mid,82.03124999999980
erliu,mid,82.03124999999980
erliu,mid,79.5072115384615
erliu,mid,79.5072115384615
erliu,mid,63.880948702101400
erliu,mid,63.880948702101400
erliu,mid,56.11258143322470
erliu,mid,56.11258143322470
erliu,mid,97.50884433962280
erliu,mid,99.38401442307690
erliu,mid,97.50884433962280
erliu,mid,99.38401442307690
erliu,mid,73.09715346534650
erliu,mid,73.09715346534650
erliu,mid,97.50884433962280
erliu,mid,92.28515625
erliu,mid,92.28515625
erliu,mid,89.10290948275860
erliu,mid,89.10290948275860
erliu,mid,62.41508152173920
erliu,mid,62.41508152173920
erliu,mid,93.96306818181820
erliu,mid,95.70312499999990
erliu,mid,80.74951171875000
erliu,mid,95.70312499999990
erliu,mid,80.74951171875000
erliu,mid,95.70312500000020
erliu,mid,95.70312500000020
erliu,mid,60.37346670560750
erliu,mid,60.37346670560750
erliu,mid,70.12169267299870
erliu,mid,70.12169267299870
erliu,mid,97.50884433962280
erliu,mid,97.50884433962280
erliu,mid,95.703125
erliu,mid,95.703125
erliu,mid,89.10290948275840
erliu,mid,89.10290948275840
erliu,mid,71.77734375000010
erliu,mid,71.77734375000010
erliu,mid,90.6661184210526
erliu,mid,90.6661184210526
erliu,mid,56.604257940854300
erliu,mid,56.604257940854300
erliu,mid,55.33157119914350
erliu,mid,55.33157119914350
erliu,mid,82.03125000000000
erliu,mid,82.03125000000000
erliu,mid,74.89809782608680
erliu,mid,74.89809782608680
erliu,mid,87.592690677966
erliu,mid,52.84221625766870
erliu,mid,87.592690677966
erliu,mid,52.84221625766870
erliu,mid,80.74951171875000
erliu,mid,80.74951171875000
erliu,mid,83.3543346774195
erliu,mid,39.999758126935
erliu,mid,83.3543346774195
erliu,mid,39.999758126935
erliu,mid,99.38401442307690
erliu,mid,50.223214285714200
erliu,mid,99.38401442307690
erliu,mid,50.223214285714200
erliu,mid,97.50884433962280
erliu,mid,78.30255681818180
erliu,mid,78.30255681818180
erliu,mid,93.96306818181820
erliu,mid,93.96306818181820
erliu,mid,97.50884433962300
erliu,mid,97.50884433962300
erliu,mid,93.96306818181820
