Banshi,Speed,Tempo
sanyan,slow,99.38401442307690
sanyan,slow,99.38401442307690
sanyan,slow,67.02942607003880
sanyan,slow,67.02942607003880
sanyan,slow,80.74951171875000
sanyan,slow,80.74951171875000
sanyan,slow,57.04159768211920
sanyan,slow,57.04159768211920
sanyan,slow,78.30255681818180
sanyan,slow,78.30255681818180
sanyan,slow,101.33272058823500
sanyan,slow,101.33272058823500
sanyan,slow,93.96306818181820
sanyan,slow,93.96306818181820
sanyan,slow,52.25448685540960
sanyan,slow,84.72079918032790
sanyan,slow,52.25448685540960
sanyan,slow,84.72079918032790
sanyan,slow,97.50884433962300
sanyan,slow,97.50884433962300
sanyan,slow,82.03125000000020
sanyan,slow,82.03125000000000
sanyan,slow,83.35433467741940
sanyan,slow,82.03125000000020
sanyan,slow,82.03125000000000
sanyan,slow,83.35433467741940
sanyan,slow,92.28515625
sanyan,slow,99.38401442307660
sanyan,slow,92.28515625
sanyan,slow,99.38401442307660
sanyan,slow,93.96306818181820
sanyan,slow,58.46118495475100
sanyan,slow,58.46118495475100
sanyan,slow,87.59269067796650
sanyan,slow,87.59269067796650
sanyan,slow,61.01497933884300
sanyan,slow,90.66611842105280
sanyan,slow,90.66611842105280
sanyan,slow,95.70312500000020
sanyan,slow,95.70312500000020
sanyan,slow,58.13238188976370
sanyan,slow,58.13238188976370
sanyan,slow,86.13281250000000
sanyan,slow,86.13281250000000
sanyan,slow,99.38401442307690
sanyan,slow,99.38401442307690
sanyan,slow,54.97839095744680
sanyan,slow,54.97839095744680
sanyan,slow,78.30255681818180
sanyan,slow,78.30255681818180
sanyan,slow,97.50884433962280
sanyan,slow,97.50884433962280
sanyan,slow,49.98035541586080
sanyan,slow,49.98035541586080
sanyan,slow,97.50884433962250
sanyan,slow,97.50884433962250
sanyan,slow,75.99954044117630
sanyan,slow,75.99954044117630
sanyan,slow,86.13281250000000
sanyan,slow,86.13281250000000
sanyan,slow,89.1029094827589
sanyan,slow,89.1029094827589
sanyan,slow,84.72079918032790
sanyan,slow,66.25600961538440
sanyan,slow,84.72079918032790
sanyan,slow,66.25600961538440
sanyan,slow,97.50884433962280
sanyan,slow,83.3543346774195
sanyan,slow,71.77734375000010
sanyan,slow,53.60963433609950
sanyan,slow,97.50884433962280
sanyan,slow,83.3543346774195
sanyan,slow,71.77734375000010
sanyan,slow,53.60963433609950
sanyan,slow,75.99954044117660
sanyan,slow,75.99954044117660
sanyan,slow,87.59269067796610
sanyan,slow,87.59269067796610
sanyan,slow,89.10290948275860
sanyan,slow,59.1300772311214
sanyan,slow,89.10290948275860
sanyan,slow,59.1300772311214
sanyan,slow,90.66611842105240
sanyan,slow,90.66611842105240
sanyan,slow,92.28515625
sanyan,slow,86.13281250000000
sanyan,slow,92.28515625
sanyan,slow,86.13281250000000
sanyan,slow,79.50721153846170
sanyan,slow,97.50884433962300
sanyan,slow,79.50721153846170
sanyan,slow,97.50884433962300
sanyan,slow,74.89809782608720
sanyan,slow,74.89809782608720
sanyan,slow,77.1338619402986
sanyan,slow,92.28515624999960
sanyan,slow,86.13281250000000
sanyan,slow,79.5072115384615
sanyan,slow,77.1338619402986
sanyan,slow,92.28515624999960
sanyan,slow,86.13281250000000
sanyan,slow,79.5072115384615
sanyan,slow,74.89809782608700
sanyan,slow,79.87586939721820
sanyan,slow,87.59269067796610
sanyan,slow,74.89809782608700
sanyan,slow,79.87586939721820
sanyan,slow,87.59269067796610
sanyan,slow,95.70312499999990
sanyan,slow,95.70312499999990
sanyan,slow,87.592690677966
sanyan,slow,87.592690677966
sanyan,slow,55.450308476394800
sanyan,slow,55.450308476394800
sanyan,slow,75.99954044117650
sanyan,slow,75.99954044117650
sanyan,slow,72.78829225352110
sanyan,slow,72.78829225352110
sanyan,slow,97.50884433962250
sanyan,slow,79.3850806451613
sanyan,slow,97.50884433962250
sanyan,slow,79.3850806451613
sanyan,slow,87.592690677966
sanyan,slow,87.592690677966
sanyan,slow,75.00680333817120
sanyan,slow,75.00680333817120
sanyan,slow,97.50884433962250
sanyan,slow,97.50884433962250
sanyan,slow,83.3543346774195
sanyan,slow,83.3543346774195
sanyan,slow,75.11582485465110
sanyan,slow,39.570970520673800
sanyan,slow,75.11582485465110
sanyan,slow,39.570970520673800
sanyan,slow,87.592690677966
sanyan,slow,87.592690677966
sanyan,slow,82.03124999999980
sanyan,slow,82.03124999999980
sanyan,slow,86.13281250000000
sanyan,slow,86.13281250000000
sanyan,slow,93.96306818181820
sanyan,slow,44.55145474137930
sanyan,slow,93.96306818181820
sanyan,slow,44.55145474137930
sanyan,slow,95.70312499999990
sanyan,slow,95.70312499999990
sanyan,slow,74.89809782608700
sanyan,slow,74.89809782608700
sanyan,slow,95.70312499999990
sanyan,slow,93.96306818181820
sanyan,slow,95.70312499999990
sanyan,slow,90.66611842105280
sanyan,slow,90.66611842105280
sanyan,slow,61.01497933884300
sanyan,slow,83.3543346774195
sanyan,slow,83.3543346774195
sanyan,slow,53.83300781250000
sanyan,slow,53.83300781250000
sanyan,slow,79.50721153846160
sanyan,slow,79.50721153846160
sanyan,slow,53.498641304347800
sanyan,slow,75.99954044117660
sanyan,slow,53.498641304347800
sanyan,slow,75.99954044117660
sanyan,slow,44.47477409638550
sanyan,slow,44.47477409638550
sanyan,slow,74.89809782608700
sanyan,slow,53.49864130434780
sanyan,slow,74.89809782608700
